# Hoverboard test (1048576 1 1000000000)
# time(ns),sleep_time(ns),repetitions
4637956,800000001,1
1977443,800000001,1
2202033,800000001,1
1926898,800000001,1
2038717,800000001,1
1941442,800000001,1
2022027,800000001,1
1945972,800000001,1
2072334,800000001,1
1938104,800000001,1
2019405,800000001,1
1868724,800000001,1
2194404,800000001,1
1939058,800000001,1
2031564,800000001,1
1958131,800000001,1
2054929,800000001,1
1945972,800000001,1
# Hoverboard test (1048576 1 1000000001)
# time(ns),sleep_time(ns),repetitions
7276773,1000000001,1
3614425,1000000001,1
4631757,1000000001,1
2487897,1000000001,1
2541303,1000000001,1
2336502,1000000001,1
2289056,1000000001,1
3428220,1000000001,1
2698421,1000000001,1
2597093,1000000001,1
3097534,1000000001,1
2328157,1000000001,1
2465486,1000000001,1
3581762,1000000001,1
2737998,1000000001,1
2382993,1000000001,1
2285957,1000000001,1
2249717,1000000001,1
2323389,1000000001,1
2529382,1000000001,1
2242088,1000000001,1
2253770,1000000001,1
2355098,1000000001,1
2305030,1000000001,1
2590417,1000000001,1
2303123,1000000001,1
2279996,1000000001,1
2458810,1000000001,1
2360343,1000000001,1
2523660,1000000001,1
