# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 48.875000 104.904000 534.534000 24.437500 5.087111 6.569667 -nan -nan -nan
116737 10 444.650000 2124.309000 4869.937000 24.437500 47.048556 185.781000 88.850844 0.000955 22.298479
117761 10 464.677000 2113.103000 5064.725000 24.437500 46.439444 189.887111 89.156419 0.000947 22.263512
118785 10 452.280000 2148.151000 4916.906000 24.437500 43.789556 193.516333 89.377472 0.000942 22.199844
119809 10 462.055000 2181.291000 5000.829000 24.437500 42.253222 185.357111 89.562341 0.000937 22.127532
120833 10 452.518000 2151.966000 4918.336000 24.437500 43.684000 185.728000 89.791314 0.000931 22.069349
121857 10 459.194000 2157.926000 4945.516000 24.437500 39.286222 188.562556 90.027683 0.000926 22.015035
122881 10 455.141000 2149.820000 4992.485000 24.437500 49.008333 188.244667 90.276971 0.000919 21.966619
123905 10 459.432000 2128.839000 5010.604000 24.437500 46.253778 187.529444 90.576160 0.000912 21.939299
124929 10 434.637000 2174.854000 4732.370000 24.437500 42.888889 152.058000 90.753344 0.000908 21.871267
125953 10 416.278000 1913.070000 4530.429000 24.437500 40.849889 130.573889 91.363907 0.000893 22.053763
126977 10 468.969000 2341.032000 5060.434000 24.437500 41.193778 206.655889 91.313401 0.000894 21.965804
128001 10 500.679000 2344.846000 5364.418000 24.437500 39.736444 207.132667 91.327104 0.000894 21.877193
129025 10 469.207000 2389.192000 5081.176000 24.437500 43.234000 137.779444 91.224795 0.000896 21.797378
130049 10 416.755000 1841.545000 4556.655000 24.437500 43.233889 158.283444 91.980177 0.000879 22.140377
