# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: hpc-g04-node01.unitn.it
# Release : 3.10.0-1127.19.1.el7.x86_64
# Version : #1 SMP Tue Aug 25 17:23:54 UTC 2020
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 237.978610 
# Number of iterations (recorded+unrecorded): 1458104320 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
530952414.40	2145.81
531952251.54	4530.59
532952089.67	3814.66
533952165.78	4768.57
534952002.91	2384.79
535951841.04	4768.57
536951678.17	3099.72
536973372.22	15734.59
537951754.28	2145.81
538951592.41	2383.79
539015959.63	10251.08
539951668.52	3814.66
540951505.66	2622.76
541951343.79	3814.66
542951180.92	2622.76
543951257.03	3814.66
543971998.16	15257.63
544951095.16	2145.81
545950932.29	4291.61
546016730.38	9774.12
546951008.40	2861.74
547950846.53	2860.74
548950922.64	2860.74
549950759.78	4053.64
550950597.91	4529.59
551950435.04	2384.79
552950273.17	2860.74
553950349.28	4291.61
554950186.41	3576.68
554971403.51	15496.61
555950024.54	2145.81
556950100.65	4052.64
557045698.06	10013.10
557950414.74	4529.59
558949775.92	3099.72
559949852.03	4052.64
560949689.16	4530.59
561949527.29	2383.79
562949364.42	2384.79
563949440.53	2861.74
564949278.66	3814.66
565949354.77	4052.64
566949191.91	2384.79
567949030.04	3575.68
568949344.13	4053.64
569948943.28	5483.51
570948781.41	2622.76
571948618.54	3337.70
572943211.15	18119.37
573019498.29	15496.61
573085773.33	15734.59
573207355.40	15973.56
573948532.78	1906.83
574948369.92	5006.55
575948685.00	8344.25
576948284.16	6675.40
577948121.29	6198.44
578947959.42	3814.66
579948035.53	7628.31
580947872.66	6914.38
581947710.79	6436.42
582947547.93	5960.46
583947624.04	7867.29
584947462.17	6913.38
585948014.23	5007.55
586947375.41	3337.70
587947213.54	6198.44
588947050.67	5722.49
589947126.78	3576.68
590946964.91	6675.40
591946802.05	6198.44
592946878.16	3576.68
593946716.29	5483.51
594946553.42	7390.34
595946391.55	5721.49
596946467.66	4529.59
597946542.77	4291.61
598946142.92	5006.55
599947171.95	6199.44
600946056.17	3337.70
601945894.30	6198.44
602945970.41	4529.59
603945807.54	5245.53
604945645.67	4052.64
605945720.78	5007.55
606945558.91	4768.57
607945397.04	4767.57
608945472.15	4530.59
609945310.29	5483.51
610945148.42	9059.19
611944985.55	6198.44
612945061.66	5006.55
613944898.79	4291.61
614944974.90	5007.55
615944575.05	4767.57
616944650.16	5722.49
617944488.30	4053.64
618944326.43	3814.66
619944401.54	5484.51
620944239.67	12396.89
621944076.80	3815.66
622944629.87	4768.57
623943991.04	5006.55
624944305.13	5245.53
625943904.28	5245.53
626943742.42	4291.61
627943579.55	5960.46
628943417.68	11919.93
629943493.79	4768.57
630943569.90	6198.44
631943169.05	6437.42
632943245.16	4291.61
633943082.29	5722.49
634942920.43	4529.59
635942996.54	6437.42
636942833.67	3338.70
637942671.80	9059.19
638942508.93	4768.57
639942585.04	4291.61
640942661.15	4768.57
641942499.28	4291.61
642942336.41	5722.49
643942174.55	5483.51
644942011.68	5483.51
645942087.79	4768.57
646941925.92	4768.57
647941763.05	3099.72
648941839.16	5722.49
649941677.29	4529.59
650941514.42	4053.64
651941590.53	6675.40
652941428.67	5483.51
653941265.80	4053.64
654941103.93	4052.64
655941180.04	5483.51
656941017.17	5007.55
657940855.30	4052.64
658940931.41	4291.61
659940768.54	5245.53
660940606.68	5006.55
661940682.79	4768.57
662940996.87	5006.55
663940358.05	5483.51
664940195.18	13350.80
665940271.29	4291.61
666940109.42	8582.23
667939946.55	8583.23
668940022.66	4768.57
669939860.80	9774.12
670604750.03	12396.89
670939697.93	11681.95
671939536.06	9298.16
672939612.17	6913.38
673853150.06	12396.89
673892008.56	12158.91
673939449.30	10967.01
674939525.41	7867.29
675939363.54	4291.61
676939439.65	10728.04
677939038.81	5006.55
678939114.92	6436.42
679938952.05	6199.44
680939267.14	5721.49
681938866.29	6198.44
682938703.42	6675.40
683939018.51	5483.51
684938378.68	6675.40
685938454.79	5722.49
686156588.19	11920.93
686938769.88	8582.23
687661350.93	10013.10
687938130.06	10967.01
688938206.17	5006.55
689162775.98	10013.10
689938044.30	5244.53
690635593.60	19311.26
690937881.43	6914.38
691668330.78	9297.16
691703136.65	10251.08
691937957.54	5960.46
692235000.84	11681.95
692712748.90	9059.19
692937795.67	6198.44
