# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: lrdn0350.leonardo.local
# Release : 4.18.0-372.32.1.el8_6.x86_64
# Version : #1 SMP Fri Oct 7 12:35:10 EDT 2022
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 20.998793 
# Number of iterations (recorded+unrecorded): 1735851720 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
946945594.46	1459.92
947945557.99	1248.93
948945491.51	1155.93
949945432.04	1232.93
950945360.56	1613.91
951945318.09	1122.94
952945280.61	1206.93
952946563.54	304.98
953945211.14	1101.94
954945147.66	1023.94
955945097.19	1008.94
956945038.71	1068.94
956946370.64	203.99
957944998.24	1230.93
958944917.76	1534.91
959944877.29	1128.94
960944826.81	1065.94
961944778.34	1248.93
962944714.86	1227.93
963944663.39	1021.94
964944590.91	1063.94
965944550.44	1246.93
966944480.97	1324.92
967944381.49	1251.93
968944336.02	1110.94
969944289.54	1234.93
969945626.47	226.99
970944222.07	1211.93
970945561.99	220.99
971944178.59	1092.94
972944122.12	1111.94
972945416.04	228.99
973944067.64	1242.93
973945413.57	320.98
974944006.17	1202.93
975943960.69	1232.93
976943891.22	1183.93
977943825.74	1327.92
978943775.27	1231.93
979943719.79	1070.94
980943658.32	1068.94
980944986.24	190.99
981943599.85	1698.90
982943563.37	1482.91
983943500.90	1239.93
983944842.82	195.99
984943435.42	1076.94
985943371.95	1536.91
986943332.47	1318.92
986944726.39	289.98
987943279.00	1110.94
988943228.52	1108.94
989943116.05	1345.92
990943074.57	1505.91
991943029.10	1228.93
992942974.62	1046.94
993942897.15	1230.93
993944258.07	183.99
994942837.68	1528.91
995942791.20	1079.94
996942727.73	1068.94
997942685.25	1263.93
998942618.78	1208.93
998943984.70	182.99
999942564.30	1248.93
999943915.22	194.99
1000942507.83	1163.93
1001942453.35	1278.93
1002942389.88	1540.91
1003942360.40	1140.93
1003943688.32	261.98
1004942292.93	1181.93
1005942240.45	2635.85
1006942175.98	1215.93
1007942138.50	1063.94
1007943468.43	193.99
1008942085.03	1081.94
1009942014.55	1551.91
1010941943.08	1543.91
1011941857.61	1112.94
1012941815.13	1201.93
1013941763.66	1134.93
1014941694.18	1086.94
1015941650.71	1219.93
1016941577.23	1129.94
1017941522.76	1226.93
1018941467.28	1240.93
1019941426.81	1211.93
1020941378.33	1058.94
1021941316.86	1067.94
1022941265.38	1249.93
1023941199.91	1032.94
1024941135.43	1043.94
1024942500.35	315.98
1025941078.96	1103.94
1026941020.48	1131.93
1027940962.01	1236.93
1028940924.53	1077.94
1029940858.06	1673.90
1030940806.58	4919.72
1031940732.11	1541.91
1032940697.63	1111.94
1032942044.56	197.99
