# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: lrdn0350.leonardo.local
# Release : 4.18.0-372.32.1.el8_6.x86_64
# Version : #1 SMP Fri Oct 7 12:35:10 EDT 2022
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 20.998793 
# Number of iterations (recorded+unrecorded): 1735851720 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
541968894.71	1161.93
542968829.24	1217.93
543968781.76	1401.92
544968736.29	1242.93
544970081.21	193.99
545968669.81	1331.92
546968608.34	1165.93
546969987.26	258.99
547968561.86	1046.94
548968504.39	1254.93
549968442.91	1525.91
550968385.44	1131.93
551968340.96	1244.93
552968295.49	1186.93
553968186.02	1037.94
554968119.54	1357.92
555968070.07	1181.93
555969381.99	202.99
556968008.59	1591.91
557967972.12	1308.92
558967917.64	1259.93
559967865.17	1132.93
560967784.69	1599.91
561967733.22	1251.93
562967686.74	1078.94
563967643.27	1226.93
564967570.79	1086.94
565967515.32	1014.94
566967461.84	1008.94
567967408.37	1019.94
568967361.89	988.94
569967304.42	1264.93
570967233.95	1172.93
571967186.47	1076.94
571968471.40	213.99
572967135.00	1122.94
573967090.52	1257.93
573968450.44	288.98
574967002.05	1561.91
575966933.57	1121.94
576966857.10	1036.94
577966811.62	1236.93
578966757.15	1219.93
579966711.67	1079.94
580966646.20	1089.94
581966584.72	1116.94
582966542.25	1160.93
583966478.77	1198.93
584966437.30	1100.94
585966370.82	1047.94
585967815.74	197.99
586966302.35	1648.91
587966241.88	1504.91
588966197.40	1436.92
589966149.93	1103.94
590966099.45	1090.94
591966035.98	1191.93
592965989.50	1083.94
593965916.03	1199.93
594965880.55	1275.93
594967232.47	270.98
595965820.08	1198.93
596965747.60	1341.92
597965675.13	1106.94
597966966.05	193.99
598965610.65	1210.93
599965540.18	1492.91
600965499.71	1059.94
601965429.23	1064.94
602965391.76	1233.93
603965340.28	1113.94
604965271.81	1128.94
604966638.73	216.99
605965225.33	1055.94
606965150.86	1228.93
607965092.38	1273.93
608965060.91	1282.93
609965004.43	1136.93
610964938.96	1423.92
611964881.48	1238.93
612964833.01	1120.94
613964757.53	1762.90
614964699.06	4905.72
615964656.58	1499.91
616964606.11	1191.93
616965929.03	211.99
617964537.63	1045.94
617965889.56	199.99
618964486.16	1050.94
619964393.69	1576.91
620964343.21	1503.91
621964287.74	1308.92
622964232.26	1244.93
623964170.79	1600.91
624964115.31	1240.93
625964067.84	1309.92
626964012.36	1113.94
627963940.89	1102.94
628963909.41	1026.94
628965252.34	204.99
629963853.94	1209.93
630963774.46	1102.94
631963720.99	1022.94
632963672.51	1347.92
633963614.04	1199.93
634963573.56	1052.94
635963519.09	1120.94
635964960.01	262.98
636963440.62	1255.93
636964787.54	206.99
637963389.14	1213.93
637964758.06	329.98
638963350.66	1213.93
639963277.19	1046.94
640963176.72	1214.93
640964589.64	245.99
641963123.24	1173.93
642963087.77	1050.94
643963012.29	1072.94
644962957.82	1357.92
644964391.74	238.99
645962919.34	1133.93
645964236.27	263.98
646962851.87	1014.94
647962798.39	1020.94
648962749.92	1255.93
648964080.84	196.99
649962701.44	1193.93
649963971.37	268.98
650962635.97	1057.94
651962575.50	1353.92
652962535.02	1233.93
653962479.54	1428.92
654962411.07	1037.94
655962344.60	1028.94
656962275.12	1600.91
657962247.65	1299.93
658962181.17	1359.92
658963562.09	203.99
659962134.70	1062.94
659963463.62	184.99
660962071.22	1254.93
661962017.75	1564.91
662961928.27	1128.94
663961856.80	1078.94
664961825.32	1253.93
664963236.24	196.99
665961749.85	1190.93
666961691.38	1038.94
667961649.90	1040.94
668961579.43	1022.94
669961525.95	1231.93
670961473.48	1493.91
671961425.00	1208.93
672961379.53	1003.94
673961293.05	1610.91
674961249.58	1336.92
674962607.50	199.99
675961204.10	1122.94
675962566.02	192.99
676961154.63	992.94
677961083.15	1275.93
678961024.68	1217.93
679960975.20	1234.93
679962550.11	188.99
679962760.10	1113.94
680960932.73	1233.93
680962241.65	244.99
681960855.25	1086.94
682960799.78	1267.93
683960729.31	1236.93
684960656.83	1295.93
685960597.36	1168.93
686960540.88	1597.91
687960481.41	1247.93
688960450.93	1163.93
689960378.46	1223.93
690960311.98	1583.91
691960266.51	1298.93
691961613.43	268.98
692960226.03	1084.94
693960157.56	1093.94
694960093.08	1580.91
695960046.61	1244.93
696959986.13	1083.94
697959940.66	1088.94
698959895.18	1092.94
699959830.71	1027.94
700959763.23	1016.94
701959707.76	1043.94
702959649.29	1526.91
703959598.81	1172.93
704959536.34	1049.94
705959499.86	1077.94
706959392.39	1263.93
707959346.91	1321.92
708959281.44	1081.94
708960625.36	240.99
709959234.96	1006.94
710959165.49	1584.91
711959120.01	1522.91
712959066.54	1095.94
713958996.06	1067.94
714958951.59	1240.93
715958899.11	1173.93
716958838.64	1513.91
717958780.17	1155.93
718958723.69	1583.91
719958678.22	1218.93
720958619.74	1082.94
721958555.27	1240.93
721959900.19	192.99
722958515.79	1189.93
723958438.32	1192.93
724958392.84	1097.94
725958341.37	1029.94
726958273.89	1602.91
727958193.42	1234.93
728958119.95	1101.94
729958085.47	1054.94
730958019.99	1162.93
731957978.52	1227.93
731959308.44	282.98
732957915.04	1071.94
733957854.57	1057.94
734957799.10	1240.93
735957748.62	1190.93
736957675.15	1014.94
737957627.67	1220.93
738957561.20	1532.91
739957518.72	1217.93
740957455.25	1086.94
741957414.77	1082.94
742957351.30	1257.93
743957275.82	1747.90
744957234.35	1181.93
745957194.87	1013.94
746957139.40	1278.93
747957080.92	1165.93
747958429.85	183.99
748957009.45	1057.94
749956976.97	1358.92
750956871.50	1203.93
751956806.03	1167.93
752956760.55	1099.94
753956701.08	1209.93
754956648.60	1270.93
755956572.13	1512.91
756956536.65	1170.93
756957917.57	298.98
757956479.18	1060.94
758956405.70	1634.91
759956365.23	1238.93
760956324.75	1091.94
761956267.28	1107.94
762956187.80	1271.93
763956140.33	1232.93
764956083.85	1071.94
765956034.38	1070.94
766955990.90	1243.93
767955920.43	1070.94
768955859.96	1110.94
769955821.48	1046.94
770955753.01	1253.93
771955663.53	1244.93
771957010.45	201.99
772955608.06	1062.94
773955544.58	1163.93
