# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 3.334000 4.386000 34.159000 1.667000 0.091000 0.138111 -nan -nan -nan
39937 10 17.162000 45.750000 185.459000 1.667000 1.537667 2.052444 0.141271 0.000074 0.058083
40961 10 17.457000 47.062000 188.722000 1.667000 1.572444 2.078444 0.135791 0.000074 0.060225
41985 10 17.460000 47.887000 189.452000 1.667000 1.650222 2.185556 0.130260 0.000075 0.062372
43009 10 17.302000 48.717000 188.545000 1.667000 1.725000 2.208667 0.123905 0.000075 0.065365
44033 10 17.505000 49.617000 190.213000 1.667000 1.684778 2.241444 0.118223 0.000076 0.067530
45057 10 17.246000 50.349000 188.443000 1.667000 1.775889 2.266444 0.111789 0.000076 0.070456
46081 10 17.617000 51.522000 192.084000 1.667000 1.768222 2.363667 0.105567 0.000076 0.073058
47105 10 17.428000 52.341000 191.060000 1.667000 1.864444 2.379222 0.098637 0.000077 0.076381
48129 10 17.652000 53.435000 193.345000 1.667000 1.869444 2.444222 0.091700 0.000077 0.079597
49153 10 18.020000 54.337000 197.204000 1.667000 1.889333 2.440222 0.086207 0.000078 0.081256
50177 10 18.166000 55.192000 199.724000 1.667000 2.007111 2.510333 0.081271 0.000078 0.082433
51201 10 18.193000 56.174000 200.262000 1.667000 2.036889 2.579000 0.075832 0.000078 0.084053
52225 10 18.411000 57.159000 202.450000 1.667000 2.037778 2.626111 0.070714 0.000079 0.085392
53249 10 18.476000 57.968000 203.722000 1.667000 2.106889 2.644444 0.065985 0.000079 0.086421
54273 10 18.915000 58.881000 208.257000 1.667000 2.123000 2.722556 0.062663 0.000079 0.086519
55297 10 19.165000 59.800000 211.041000 1.667000 2.154556 2.744222 0.059860 0.000079 0.086375
56321 10 19.432000 60.953000 213.911000 1.667000 2.176778 2.842333 0.056713 0.000079 0.086438
57345 10 19.921000 61.859000 219.094000 1.667000 2.209333 2.861667 0.054996 0.000079 0.085911
58369 10 20.066000 63.073000 221.434000 1.667000 2.308222 2.884444 0.052199 0.000080 0.085853
59393 10 20.240000 63.824000 223.339000 1.667000 2.326556 2.926667 0.050191 0.000080 0.085469
60417 10 20.264000 64.530000 223.799000 1.667000 2.351000 2.950000 0.048532 0.000080 0.084990
61441 10 20.407000 65.297000 225.684000 1.667000 2.401556 2.967222 0.047390 0.000080 0.084392
62465 10 20.564000 66.206000 227.569000 1.667000 2.436556 3.062222 0.046283 0.000080 0.083807
63489 10 20.748000 67.076000 229.853000 1.667000 2.485889 3.069333 0.045431 0.000080 0.083191
64513 10 21.316000 68.320000 235.431000 1.667000 2.474556 3.149778 0.044846 0.000080 0.082552
65537 10 21.405000 69.267000 236.957000 1.667000 2.545222 3.143667 0.043909 0.000080 0.081987
66561 10 21.654000 70.419000 240.048000 1.667000 2.612000 3.312667 0.042508 0.000080 0.081555
67585 10 21.650000 71.112000 240.543000 1.667000 2.671444 3.374444 0.041340 0.000080 0.081075
68609 10 21.636000 71.871000 240.982000 1.667000 2.735778 3.348778 0.040147 0.000080 0.080618
69633 10 21.783000 72.821000 242.499000 1.667000 2.741000 3.432667 0.038842 0.000080 0.080209
70657 10 21.871000 73.913000 243.823000 1.667000 2.790333 3.477222 0.036823 0.000080 0.080090
71681 10 21.932000 74.963000 247.812000 1.667000 3.165778 3.511889 0.034197 0.000080 0.080318
72705 10 22.624000 75.595000 251.566000 1.667000 2.814000 3.583333 0.034120 0.000080 0.079743
73729 10 22.765000 76.668000 253.727000 1.667000 2.897444 3.570889 0.033492 0.000080 0.079228
74753 10 22.650000 77.879000 253.124000 1.667000 2.958222 3.764889 0.031220 0.000081 0.079314
75777 10 23.010000 78.358000 257.001000 1.667000 2.989000 3.725778 0.030871 0.000081 0.078784
76801 10 22.503000 79.273000 252.909000 1.667000 3.097667 3.763444 0.028635 0.000081 0.078887
77825 10 22.768000 80.129000 255.670000 1.667000 3.110000 3.741111 0.026964 0.000081 0.078720
78849 10 22.806000 81.296000 256.643000 1.667000 3.175889 3.862889 0.024343 0.000081 0.079098
79873 10 23.684000 82.317000 265.101000 1.667000 3.140111 3.908222 0.023513 0.000081 0.078673
80897 10 23.225000 82.954000 261.499000 1.667000 3.249889 3.923333 0.021796 0.000081 0.078563
81921 10 23.601000 83.763000 265.358000 1.667000 3.260889 3.985556 0.021010 0.000081 0.078149
82945 10 23.714000 84.854000 267.415000 1.667000 3.363889 4.024667 0.019665 0.000081 0.077909
83969 10 23.625000 85.733000 267.825000 1.667000 3.508333 4.064222 0.017827 0.000081 0.077900
84993 10 23.642000 86.375000 267.625000 1.667000 3.467222 4.109556 0.016408 0.000081 0.077710
86017 10 23.780000 87.257000 269.358000 1.667000 3.506444 4.205556 0.015080 0.000081 0.077494
87041 10 23.837000 88.199000 270.161000 1.667000 3.532333 4.206556 0.013486 0.000081 0.077402
88065 10 23.808000 89.529000 270.165000 1.667000 3.565000 4.237111 0.010476 0.000081 0.078275
89089 10 24.185000 90.161000 274.508000 1.667000 3.628667 4.301111 0.008840 0.000081 0.078214
90113 10 24.911000 91.141000 281.268000 1.667000 3.573111 4.329222 0.008492 0.000081 0.077781
91137 10 25.303000 92.126000 286.104000 1.667000 3.674889 4.392000 0.008538 0.000081 0.077338
92161 10 24.827000 93.061000 281.907000 1.667000 3.737444 4.445222 0.007020 0.000081 0.077258
93185 10 24.916000 94.190000 283.263000 1.667000 3.789222 4.445111 0.004906 0.000082 0.077523
94209 10 24.792000 94.790000 282.421000 1.667000 3.833444 4.519778 0.002967 0.000082 0.077685
95233 10 25.198000 95.968000 287.584000 1.667000 3.956000 4.545889 0.001084 0.000082 0.077823
96257 10 25.556000 96.623000 290.364000 1.667000 3.867111 4.556778 0.000329 0.000082 0.077495
97281 10 25.613000 97.568000 291.462000 1.667000 3.925778 4.678000 -0.000691 0.000082 0.077250
98305 10 25.771000 98.829000 293.206000 1.667000 3.944000 4.668778 -0.002437 0.000082 0.077342
99329 10 26.044000 99.576000 296.510000 1.667000 4.007778 4.754444 -0.003481 0.000082 0.077119
100353 10 26.085000 100.557000 297.430000 1.667000 4.064444 4.803889 -0.004879 0.000082 0.077048
101377 10 26.402000 101.193000 300.637000 1.667000 4.068556 4.828667 -0.005270 0.000082 0.076680
102401 10 26.792000 102.048000 304.310000 1.667000 4.043333 4.833333 -0.005024 0.000082 0.076302
103425 10 26.534000 103.162000 302.432000 1.667000 4.121333 4.975444 -0.006098 0.000082 0.076121
104449 10 26.612000 104.031000 303.863000 1.667000 4.193667 4.994556 -0.007197 0.000082 0.075956
105473 10 27.130000 104.741000 309.142000 1.667000 4.204667 5.048000 -0.007076 0.000082 0.075585
106497 10 27.380000 106.342000 311.972000 1.667000 4.241333 5.062667 -0.008187 0.000082 0.075441
107521 10 27.696000 106.984000 315.657000 1.667000 4.299667 5.159556 -0.008372 0.000082 0.075084
108545 10 27.688000 107.810000 315.808000 1.667000 4.325333 5.199556 -0.008708 0.000082 0.074746
109569 10 27.446000 108.871000 314.035000 1.667000 4.397222 5.198333 -0.010126 0.000082 0.074771
110593 10 27.797000 109.445000 317.578000 1.667000 4.400889 5.268556 -0.010423 0.000082 0.074437
111617 10 28.205000 110.387000 322.247000 1.667000 4.466333 5.334444 -0.010272 0.000082 0.074096
112641 10 28.670000 111.419000 325.974000 1.667000 4.363778 5.343889 -0.009761 0.000082 0.073806
113665 10 28.421000 112.322000 324.429000 1.667000 4.468778 5.370556 -0.010037 0.000082 0.073485
114689 10 28.443000 113.384000 325.089000 1.667000 4.517667 5.372333 -0.010847 0.000082 0.073285
115713 10 28.540000 114.214000 327.415000 1.667000 4.668333 5.524778 -0.011579 0.000082 0.073065
116737 10 28.822000 115.264000 330.923000 1.667000 4.744778 5.524000 -0.012302 0.000082 0.072848
117761 10 29.113000 116.167000 333.739000 1.667000 4.734333 5.593333 -0.012726 0.000082 0.072565
118785 10 28.871000 116.949000 331.752000 1.667000 4.782444 5.609667 -0.013629 0.000082 0.072419
119809 10 29.433000 118.028000 337.808000 1.667000 4.830889 5.628556 -0.014054 0.000082 0.072145
120833 10 29.051000 118.617000 334.835000 1.667000 4.925000 5.714889 -0.014852 0.000082 0.071972
121857 10 29.499000 119.785000 338.844000 1.667000 4.872667 5.670000 -0.015552 0.000082 0.071772
122881 10 29.961000 120.769000 344.026000 1.667000 4.935111 5.780556 -0.015802 0.000082 0.071484
123905 10 30.106000 121.903000 346.108000 1.667000 5.005333 5.763000 -0.016455 0.000082 0.071280
124929 10 30.407000 122.570000 349.691000 1.667000 5.069000 5.777000 -0.016393 0.000082 0.070985
125953 10 30.134000 123.775000 347.911000 1.667000 5.174556 5.866333 -0.017595 0.000082 0.071020
126977 10 30.377000 124.278000 350.128000 1.667000 5.150889 5.919556 -0.017886 0.000082 0.070750
128001 10 30.715000 125.516000 354.082000 1.667000 5.214667 5.955222 -0.018412 0.000082 0.070528
129025 10 30.579000 126.315000 353.009000 1.667000 5.246556 5.977667 -0.019221 0.000082 0.070398
130049 10 30.771000 127.055000 355.092000 1.667000 5.264667 6.101333 -0.019643 0.000082 0.070160
