# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: hpc-c07-node05.unitn.it
# Release : 3.10.0-1127.19.1.el7.x86_64
# Version : #1 SMP Tue Aug 25 17:23:54 UTC 2020
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 237.983489 
# Number of iterations (recorded+unrecorded): 1412962005 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
627956454.01	12636.12
628956311.64	16211.88
629956170.27	12874.11
630956028.90	15495.92
631956124.52	11206.22
632955983.15	9775.32
633955841.78	12158.16
634955937.39	10967.24
635955796.02	12397.14
636955653.65	8821.39
637955750.27	22410.45
638955608.90	13351.07
639955466.53	5960.59
640955563.14	12159.16
641955421.77	6437.55
642955279.41	20503.58
643955376.02	17165.81
644955234.65	26940.13
645955092.28	9537.34
646954950.91	14780.97
647955047.53	10013.31
648954905.16	16927.83
649954763.79	21218.53
650954621.42	18834.69
651954718.03	9775.32
652954576.66	21933.48
653954434.30	20980.54
654954530.91	8344.42
655954389.54	7629.47
656954247.17	7391.49
657954343.79	6437.55
658954202.42	6437.55
659954060.05	8344.42
660954156.66	6437.55
661954015.29	5721.60
662953872.92	5245.64
663953969.54	5483.62
664953828.17	6437.55
665953685.80	6437.55
666953544.43	8582.40
667953641.04	8582.40
668953498.68	15258.94
669953357.31	11443.21
670953453.92	23125.40
671953311.55	16450.86
672953170.18	20979.54
673125773.21	2622.82
673953027.81	13351.07
674953124.43	8821.39
675952983.06	10728.26
676953079.67	12635.12
677952937.30	7868.45
678952795.93	10728.26
679952653.56	43627.97
680952750.18	8821.39
681952608.81	8821.39
682952466.44	7868.45
683952563.06	2622.82
684204792.56	20264.59
684398613.11	17403.79
684952421.69	13112.09
685952279.32	12397.14
686952137.95	11920.17
687952234.56	10728.26
688952092.19	9775.32
689951950.82	12635.12
690952047.44	16449.86
691951905.07	19549.64
692951763.70	18833.69
693951860.31	21694.49
694951479.96	11205.22
695951576.58	11920.17
696951673.19	7867.45
697951530.82	6437.55
698951389.45	7390.49
699951247.08	9298.35
700951343.70	9775.32
701951202.33	7629.47
702951059.96	7152.50
703951156.57	6437.55
704951015.20	7390.49
705950872.83	5245.64
706950969.45	6198.57
707950828.08	16211.88
708950685.71	14066.02
709950544.34	10251.29
710950640.96	30991.85
711950498.59	17165.81
712950357.22	9774.32
713950453.83	7628.47
714950311.46	17880.76
715950170.09	20025.61
716950266.71	8582.40
717950124.34	8821.39
718949982.97	11682.19
719949840.60	7867.45
720949937.21	38145.35
721949795.85	9297.35
722949653.48	11205.22
723949750.09	11682.19
724949608.72	9297.35
725949466.35	15257.94
725964962.28	3814.74
726949562.97	15734.91
727949421.60	10251.29
728949279.23	11444.21
729949375.84	17880.76
730949234.47	23125.40
731949092.10	21695.49
732948950.73	17403.79
733949047.35	18118.74
734948904.98	10728.26
735948763.61	13112.09
736948860.23	9297.35
737948717.86	7629.47
738948576.49	15495.92
739948434.12	12397.14
740948530.73	15973.89
741948389.36	15734.91
742948246.99	9536.34
743948343.61	6675.54
744948202.24	6198.57
745948059.87	8583.40
746948156.48	6437.55
747948015.11	6436.55
748947872.75	6198.57
749947969.36	6198.57
750947827.99	5721.60
751947685.62	7390.49
752947782.24	39336.27
753947639.87	10967.24
754947498.50	15257.94
755947595.11	18595.71
756947452.74	16450.86
757947311.37	11682.19
758947170.00	10489.27
759947265.62	9537.34
760947124.25	13589.06
761946981.88	14305.01
762947078.49	9537.34
763946937.13	5483.62
764946794.76	5960.59
765946891.37	12636.12
766946750.00	12636.12
767946607.63	13113.09
768946466.26	15734.91
769946562.88	12874.11
770946420.51	10967.24
771946279.14	18118.74
772946375.75	16211.88
773946233.38	16211.88
774946092.02	9536.34
775946188.63	8582.40
776946046.26	17165.81
777945904.89	14780.97
778945762.52	11921.17
779945859.14	9537.34
780945717.77	6437.55
781945575.40	6437.55
782945672.01	10729.26
783945530.64	6675.54
784945388.27	7152.50
785945484.89	12159.16
786945343.52	19549.64
787945201.15	13113.09
788945297.76	6914.52
789945156.39	7867.45
790945014.03	7629.47
791944872.66	10728.26
792944969.27	11205.22
793944826.90	15973.89
794944685.53	13351.07
795944782.15	14304.01
796944639.78	8583.40
797944498.41	14066.02
798944356.04	11205.22
799944452.65	10490.27
800944311.28	16926.83
801944168.92	7868.45
802944265.53	10252.29
803944124.16	5721.60
804943981.79	11682.19
805944078.41	15019.96
806943937.04	7390.49
807943794.67	15258.94
808943653.30	16926.83
809943749.91	18118.74
810943607.54	16450.86
811943466.17	19787.63
812943562.79	15734.91
813943420.42	16450.86
814943279.05	16449.86
815943375.66	21456.51
816943233.30	9298.35
817943091.93	7867.45
818943188.54	7867.45
819943046.17	6437.55
820942904.80	7152.50
821943001.42	6436.55
822942859.05	6199.57
823942717.68	5006.65
824942814.29	5244.64
825942671.92	6914.52
826942530.55	6436.55
827942388.19	5722.60
828942484.80	6198.57
829942343.43	12874.11
830942201.06	8106.44
831942297.68	14305.01
832942156.31	14304.01
833942013.94	20503.58
834941872.57	10013.31
835941969.18	14780.97
836941826.81	20264.59
837941685.44	15257.94
838941782.06	8582.40
839941639.69	6914.52
840941498.32	9774.32
841941594.93	6436.55
842941452.56	6198.57
843941311.20	8105.44
844941168.83	6675.54
845941265.44	17880.76
846941124.07	9774.32
847941220.69	14780.97
848941078.32	10252.29
849940936.95	17403.79
850940794.58	15734.91
851940891.19	19787.63
852940749.82	16926.83
853940607.45	15734.91
854940704.07	16211.88
855940562.70	11682.19
856940420.33	19072.68
857940278.96	11205.22
858940375.58	11205.22
859940233.21	8583.40
860940091.84	5483.62
861940188.45	7390.49
862940046.08	12159.16
863939904.71	15495.92
864940001.33	10251.29
865939858.96	19787.63
866939717.59	8344.42
867939814.20	7390.49
868939671.83	4768.67
869939530.47	5721.60
870939626.08	6437.55
871939484.71	6437.55
872939343.34	5959.59
873939200.97	6198.57
874939297.59	5960.59
875051107.83	10252.29
875939156.22	5244.64
875970148.07	16211.88
876939013.85	14066.02
877938872.48	7390.49
878726552.83	10489.27
878899870.81	11443.21
878938968.09	15258.94
879938826.72	5483.62
880342918.69	16210.88
880407287.22	18118.74
880938923.34	4529.69
881938780.97	7152.50
882938639.60	10728.26
883938736.21	9059.37
884938593.85	5245.64
885938452.48	11205.22
886938310.11	7391.49
887938406.72	31946.78
888938265.35	16211.88
889938122.98	12159.16
890937981.61	12874.11
891938078.23	18595.71
892937935.86	10967.24
893937794.49	10251.29
894937891.10	14066.02
895937748.73	33138.70
896937607.37	15496.92
897937465.00	15496.92
898937561.61	24079.33
899937420.24	16211.88
900937516.86	10490.27
901937374.49	30754.87
902937233.12	7390.49
903937090.75	9537.34
904937187.36	7868.45
905937045.99	6913.52
906936903.62	5483.62
907937000.24	7391.49
908936858.87	6675.54
909936716.50	7391.49
910936813.11	6437.55
911936671.75	5483.62
912198436.58	10490.27
912936529.38	6437.55
913316304.03	17165.81
913936388.01	11205.22
914936484.62	15257.94
915936342.25	8821.39
916936200.88	12635.12
917936297.50	18833.69
918936155.13	7152.50
919936013.76	16926.83
920936110.37	18356.73
921935968.00	7629.47
922935826.64	14066.02
923935923.25	8105.44
924935780.88	6914.52
925935639.51	7867.45
926935736.13	9774.32
927935593.76	8821.39
928935213.40	10729.26
929935310.02	18119.74
930935406.63	8583.40
931935265.26	14304.01
932935122.89	17880.76
933934981.52	31707.80
934935078.14	19310.66
935934935.77	9298.35
936935032.38	12636.12
937934891.02	33853.65
938934748.65	11682.19
939934607.28	10490.27
940934703.89	9536.34
941934561.52	8583.40
942934420.15	6675.54
943934516.77	5960.59
944934374.40	5960.59
945934233.03	5721.60
946934329.64	5006.65
947934187.27	5960.59
948934045.90	7390.49
949934142.52	6913.52
950934000.15	7867.45
951933858.78	7629.47
952035655.72	10252.29
952107891.71	15973.89
952933716.41	14305.01
953933813.03	14542.99
954933671.66	17403.79
955933529.29	7391.49
956933625.90	10490.27
957933484.53	10966.24
958933342.16	9298.35
959933200.79	17641.78
960933297.41	6675.54
961933155.04	7391.49
962933013.67	5721.60
963933110.28	6913.52
964932967.92	6198.57
965932826.55	5721.60
966932923.16	17641.78
967932780.79	14305.01
968932639.42	9297.35
969932736.04	14780.97
970932593.67	13828.04
970946659.69	4052.72
971932452.30	6913.52
972932309.93	48396.64
973932168.56	16211.88
974932265.17	13589.06
975932122.81	8106.44
976931981.44	5006.65
977932078.05	15018.96
978931935.68	6914.52
979932032.30	5960.59
980931890.93	5244.64
981931748.56	7390.49
982931845.17	5245.64
983931703.80	6675.54
984931561.43	4768.67
985931420.06	5244.64
986931516.68	5959.59
987931374.31	16449.86
988931232.94	10251.29
989931329.55	20740.56
990931187.19	20741.56
991320021.21	10251.29
991931045.82	6913.52
992931142.43	8105.44
993134975.29	15973.89
993931000.06	13351.07
994930858.69	17641.78
995930716.32	20026.61
996930812.94	14066.02
997930671.57	19787.63
998930529.20	17880.76
999930625.81	11682.19
1000930484.44	17641.78
1001930342.07	11920.17
1002930438.69	12397.14
1003930296.32	7152.50
1004930154.95	8106.44
1005930251.57	21218.53
1006930109.20	12636.12
1007929967.83	8344.42
1008929826.46	8582.40
1009929922.07	6676.54
1010929780.70	10251.29
1011929638.33	6914.52
1012929734.95	11206.22
1013929593.58	15019.96
1014929451.21	16688.84
1015929309.84	8344.42
1016929406.45	19787.63
1017929264.09	7629.47
1018929122.72	12397.14
1019929219.33	25509.23
1020929076.96	11444.21
1021928935.59	15257.94
1022929032.21	14780.97
1023928889.84	9060.37
1024928748.47	13828.04
1025928845.08	9059.37
1026928702.71	15258.94
1027928561.34	9774.32
1028928418.98	8583.40
1029928515.59	5722.60
1030928374.22	9536.34
1031928231.85	7152.50
1032928328.47	7152.50
1033928187.10	6198.57
1034928044.73	6437.55
1035928141.34	7152.50
1036927999.97	6198.57
1037927857.60	8106.44
1038715776.94	10251.29
1038927716.23	6437.55
1039755447.81	15734.91
1039927812.85	7629.47
1040927670.48	26463.16
1041927529.11	13112.09
1042927625.72	23840.35
1043927483.36	25986.20
1044927341.99	20264.59
1045927199.62	14781.97
1046927296.23	15496.92
1047927154.86	11920.17
1048927251.48	6913.52
1049927109.11	9060.37
1050926967.74	10490.27
1051926825.37	10490.27
1052926921.98	13590.06
1053926780.61	9059.37
1054926638.24	7868.45
1055926734.86	9536.34
1056926593.49	15734.91
1057926451.12	14305.01
1058926547.74	9298.35
1059926406.37	13112.09
1060926264.00	21933.48
