# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 41.246000 96.797000 448.942000 20.623000 4.053556 7.047000 -nan -nan -nan
17409 10 116.109000 267.982000 1235.008000 20.623000 8.213111 10.411778 7.841756 0.000487 1.071738
18433 10 112.771000 273.466000 1223.802000 20.623000 10.676889 12.716556 7.748782 0.000503 1.064042
19457 10 113.964000 287.055000 1234.531000 20.623000 10.543444 11.152667 7.603129 0.000527 1.095387
20481 10 122.070000 294.446000 1333.951000 20.623000 12.583444 10.994000 7.540213 0.000536 1.077981
21505 10 117.301000 301.837000 1287.460000 20.623000 12.716667 12.584111 7.427072 0.000553 1.090381
22529 10 126.838000 317.573000 1351.356000 20.623000 9.219556 11.709667 7.327349 0.000567 1.095791
23553 10 120.639000 323.295000 1314.401000 20.623000 12.001222 11.153444 7.192325 0.000585 1.129645
24577 10 139.474000 327.348000 1490.592000 20.623000 10.650222 11.895222 7.241067 0.000579 1.112711
25601 10 129.461000 329.256000 1389.741000 20.623000 10.570111 12.212556 7.230993 0.000580 1.089638
26625 10 127.553000 344.991000 1387.834000 20.623000 12.478222 11.683444 7.132267 0.000591 1.102921
27649 10 142.335000 353.574000 1510.858000 20.623000 9.723111 9.987889 7.132973 0.000591 1.081504
28673 10 122.547000 346.422000 1345.634000 20.623000 13.351556 11.417667 7.083993 0.000597 1.070686
29697 10 139.236000 386.238000 1496.791000 20.623000 11.603444 11.312000 6.924742 0.000613 1.150429
30721 10 149.488000 374.555000 1598.596000 20.623000 11.524000 11.418000 6.968964 0.000609 1.138045
31745 10 147.342000 388.860000 1582.860000 20.623000 12.160000 11.656667 6.938208 0.000612 1.122753
32769 10 150.918000 417.947000 1627.922000 20.623000 13.193556 11.603889 6.789837 0.000626 1.193938
33793 10 146.865000 431.299000 1574.516000 20.623000 11.762889 13.696667 6.592613 0.000644 1.324310
34817 10 147.342000 433.444000 1596.927000 20.623000 13.723000 13.934889 6.446984 0.000657 1.381734
35841 10 150.442000 438.690000 1674.890000 20.623000 18.941111 19.788778 6.342760 0.000666 1.400905
36865 10 155.925000 464.439000 1688.718000 20.623000 14.385333 14.173333 6.173780 0.000680 1.483703
37889 10 159.025000 452.041000 1706.600000 20.623000 12.927778 14.252222 6.143501 0.000682 1.466261
38913 10 175.237000 464.439000 1869.916000 20.623000 13.060667 15.100444 6.170181 0.000680 1.448972
39937 10 173.568000 490.188000 1851.558000 20.623000 12.875333 14.809111 6.084767 0.000687 1.457753
40961 10 171.184000 493.764000 1854.181000 20.623000 15.815667 15.762556 6.011184 0.000692 1.460084
41985 10 173.807000 497.817000 1857.042000 20.623000 13.219111 16.053556 5.970363 0.000695 1.448387
43009 10 175.476000 512.599000 1890.659000 20.623000 15.099889 15.894556 5.901806 0.000700 1.449895
44033 10 182.867000 518.560000 1950.502000 20.623000 13.536889 15.894556 5.877891 0.000702 1.434937
45057 10 178.813000 539.064000 1941.680000 20.623000 17.061111 16.027889 5.773020 0.000709 1.465121
46081 10 186.443000 553.607000 2002.954000 20.623000 15.391556 16.159778 5.677400 0.000715 1.487496
47105 10 166.654000 549.793000 1835.346000 20.623000 18.756222 16.319000 5.549983 0.000724 1.539951
48129 10 188.350000 575.304000 2020.359000 20.623000 15.206556 16.398556 5.447760 0.000730 1.567277
49153 10 187.158000 568.866000 2004.861000 20.623000 14.809000 16.266000 5.406648 0.000733 1.557750
50177 10 196.456000 568.389000 2041.339000 20.623000 8.531000 17.114000 5.438645 0.000731 1.545933
51201 10 208.377000 591.993000 2192.974000 20.623000 12.133778 16.213222 5.447298 0.000730 1.530415
52225 10 198.125000 598.430000 2115.249000 20.623000 14.888778 16.902000 5.414996 0.000732 1.519865
53249 10 189.542000 609.159000 2064.228000 20.623000 18.756444 16.822444 5.335885 0.000737 1.534344
54273 10 188.589000 627.040000 2030.849000 20.623000 16.106556 17.590000 5.216996 0.000743 1.585756
55297 10 189.304000 625.371000 2031.564000 20.623000 15.391556 17.087000 5.143887 0.000747 1.595709
56321 10 181.913000 614.881000 1938.819000 20.623000 13.298778 17.272444 5.114649 0.000749 1.584928
57345 10 195.264000 637.531000 2110.004000 20.623000 17.484889 17.246333 5.079041 0.000751 1.576618
58369 10 194.787000 652.790000 2093.791000 20.623000 16.213444 17.379000 5.014350 0.000754 1.583162
59393 10 168.085000 654.935000 1822.233000 20.623000 15.709222 17.563556 4.876630 0.000761 1.661942
60417 10 172.853000 679.254000 1879.453000 20.623000 16.769222 17.510889 4.705908 0.000770 1.783848
